titleId,seasonNumber,title,date,av_rating,share,genres
tt1888075,7,Death in Paradise,2018,7.701,0.07,"Crime,Drama,Mystery"
tt1595859,7,Blue Bloods,2017,7.6671,0.14,"Crime,Drama"
tt1796960,7,Homeland,2018,8.3374,1.05,"Crime,Drama,Mystery"
tt0460627,7,Bones,2012,8.0424,0.61,"Comedy,Crime,Drama"
tt0810788,7,Burn Notice,2013,8.7325,0.17,"Action,Crime,Drama"
tt0904208,7,Californication,2014,7.5632,0.33,"Comedy,Drama"
tt1219024,7,Castle,2015,8.4301,0.61,"Comedy,Crime,Drama"
tt0368479,7,Cold Case,2010,8.6,0.01,"Crime,Drama,Mystery"
tt0452046,7,Criminal Minds,2012,6.95,2.52,"Crime,Drama,Mystery"
tt0313043,7,CSI: Miami,2009,7.836,0.48,"Action,Crime,Drama"
tt0395843,7,CSI: NY,2011,7.9156,0.22,"Action,Crime,Drama"
tt0410975,7,Desperate Housewives,2011,8.1531,0.43,"Comedy,Drama,Mystery"
tt0773262,7,Dexter,2012,8.9068,3.25,"Crime,Drama,Mystery"
tt0436992,7,Doctor Who,2012,7.9833,5.09,"Adventure,Drama,Family"
tt0387199,7,Entourage,2010,8.1566,0.49,"Comedy,Drama"
tt0944947,7,Game of Thrones,2017,9.3014,10.53,"Action,Adventure,Drama"
tt0413573,7,Grey's Anatomy,2011,7.3107,1.05,"Drama,Romance"
tt1600194,7,Hawaii Five-0,2017,7.9759,0.27,"Action,Crime,Drama"
tt0412142,7,House,2011,8.4639,2.22,"Drama,Mystery"
tt0874608,7,Inspector Lewis,2013,7.8951,0.08,"Crime,Drama,Mystery"
tt0275140,7,Law & Order: Criminal Intent,2008,8.2866,0.43,"Crime,Drama,Mystery"
tt0804503,7,Mad Men,2014,8.813,0.87,Drama
tt0412175,7,Medium,2010,7.4392,0.03,"Crime,Drama,Fantasy"
tt0160904,7,MI-5,2008,8.5888,0.11,"Drama,Thriller"
tt0312172,7,Monk,2008,8.0104,0.76,"Comedy,Crime,Drama"
tt1091909,7,Murdoch Mysteries,2013,8.0573,0.14,"Crime,Drama,Mystery"
tt1378167,7,NCIS: Los Angeles,2016,8.5187,0.15,"Crime,Drama,Mystery"
tt1190689,7,Nurse Jackie,2015,8.1931,0.06,"Comedy,Drama"
tt0368530,7,One Tree Hill,2009,8.5481,0.4,"Drama,Romance,Sport"
tt1578873,7,Pretty Little Liars,2016,7.5756,0.3,"Drama,Mystery,Romance"
tt0381798,7,Rescue Me,2011,9.2,0.01,"Comedy,Drama"
tt1551632,7,Rizzoli & Isles,2016,8.3151,0.06,"Crime,Drama,Mystery"
tt1837576,7,Scandal,2017,7.4799,0.1,"Drama,Thriller"
tt0285403,7,Scrubs,2008,8.2232,0.86,"Comedy,Drama"
tt1586680,7,Shameless,2016,8.9098,0.43,"Comedy,Drama"
tt0840196,7,Skins,2013,7.8734,0.13,Drama
tt0279600,7,Smallville,2008,8.5069,1.7,"Adventure,Drama,Romance"
tt1124373,7,Sons of Anarchy,2014,8.9179,1.03,"Crime,Drama,Thriller"
tt1632701,7,Suits,2017,8.4893,0.49,"Comedy,Drama"
tt0460681,7,Supernatural,2012,8.6528,4.18,"Drama,Fantasy,Horror"
tt0458253,7,The Closer,2011,8.472,0.2,"Crime,Drama,Mystery"
tt1442462,7,The Good Wife,2016,7.8073,0.25,"Crime,Drama,Mystery"
tt1196946,7,The Mentalist,2015,8.3758,0.36,"Crime,Drama,Mystery"
tt0286486,7,The Shield,2008,8.1117,1.09,"Crime,Drama,Thriller"
tt1405406,7,The Vampire Diaries,2016,8.4884,0.44,"Drama,Fantasy,Horror"
tt1520211,7,The Walking Dead,2017,7.7381,5.93,"Drama,Horror,Sci-Fi"
tt0844441,7,True Blood,2014,6.9127,0.43,"Drama,Fantasy,Mystery"
tt0439100,7,Weeds,2011,7.507,0.32,"Comedy,Crime,Drama"
tt1734537,6,Agatha Christie's Marple,2014,7.316,0.07,"Crime,Drama,Mystery"
tt1844624,6,American Horror Story,2016,7.8932,0.77,"Drama,Horror,Thriller"
tt2177489,6,Baby Daddy,2017,8.9,0,"Comedy,Drama,Family"
tt1595859,6,Blue Bloods,2016,7.9422,0.14,"Crime,Drama"
tt2261391,6,Chicago Fire,2018,8.7518,0.27,"Action,Drama"
tt0460627,6,Bones,2011,8.0539,0.96,"Comedy,Crime,Drama"
tt0810788,6,Burn Notice,2012,8.5064,0.34,"Action,Crime,Drama"
tt2191671,6,Elementary,2018,8.2116,0.49,"Crime,Drama,Mystery"
tt0904208,6,Californication,2013,7.6177,0.41,"Comedy,Drama"
tt2372162,6,Orange Is the New Black,2018,8.0487,0.7,"Comedy,Crime,Drama"
tt1983079,6,Call the Midwife,2017,8.5121,0.05,"Drama,History"
tt1219024,6,Castle,2014,8.4742,0.8,"Comedy,Crime,Drama"
tt2149175,6,The Americans,2018,9.2232,0.71,"Crime,Drama,Mystery"
tt0368479,6,Cold Case,2008,8.056,0.24,"Crime,Drama,Mystery"
tt0452046,6,Criminal Minds,2011,6.9783,2.19,"Crime,Drama,Mystery"
tt0313043,6,CSI: Miami,2008,7.6672,0.52,"Action,Crime,Drama"
tt0395843,6,CSI: NY,2010,8.0376,0.33,"Action,Crime,Drama"
tt1888075,6,Death in Paradise,2017,7.8847,0.06,"Crime,Drama,Mystery"
tt0410975,6,Desperate Housewives,2010,8.1172,0.61,"Comedy,Drama,Mystery"
tt0773262,6,Dexter,2011,8.4439,2.32,"Crime,Drama,Mystery"
tt0436992,6,Doctor Who,2011,8.2744,4.08,"Adventure,Drama,Family"
tt1606375,6,Downton Abbey,2015,8.7084,0.27,"Drama,Romance"
tt0387199,6,Entourage,2009,8.3233,0.8,"Comedy,Drama"
tt0944947,6,Game of Thrones,2016,9.4943,15.18,"Action,Adventure,Drama"
tt1723816,6,Girls,2017,7.7528,0.18,"Comedy,Drama"
tt1327801,6,Glee,2015,8.6775,0.37,"Comedy,Drama,Music"
tt0397442,6,Gossip Girl,2012,7.6584,0.36,"Drama,Romance"
tt0413573,6,Grey's Anatomy,2010,8.5097,1.66,"Drama,Romance"
tt1830617,6,Grimm,2017,8.6292,0.3,"Drama,Fantasy,Horror"
tt1600194,6,Hawaii Five-0,2016,8.1672,0.23,"Action,Crime,Drama"
tt1796960,6,Homeland,2017,8.1587,0.69,"Crime,Drama,Mystery"
tt0412142,6,House,2010,8.813,3.37,"Drama,Mystery"
tt0874608,6,Inspector Lewis,2012,7.7897,0.1,"Crime,Drama,Mystery"
tt1489428,6,Justified,2015,9.11,0.37,"Action,Crime,Drama"
tt1086761,6,Keeping Up with the Kardashians,2011,3.9,0.01,"Drama,Reality-TV"
tt1836037,6,Longmire,2017,8.9863,0.09,"Action,Crime,Drama"
tt0411008,6,Lost,2010,8.5542,5.05,"Adventure,Drama,Fantasy"
tt0804503,6,Mad Men,2013,8.4031,0.81,Drama
tt1936532,6,Major Crimes,2017,8.3822,0.02,"Crime,Drama,Mystery"
tt0412175,6,Medium,2010,8.1507,0.12,"Crime,Drama,Fantasy"
tt1091909,6,Murdoch Mysteries,2013,8.0601,0.1,"Crime,Drama,Mystery"
tt1378167,6,NCIS: Los Angeles,2015,8.1956,0.21,"Crime,Drama,Mystery"
tt0361217,6,Nip/Tuck,2009,7.559,0.35,Drama
tt0433309,6,Numb3rs,2009,7.9738,0.26,"Crime,Drama,Mystery"
tt1190689,6,Nurse Jackie,2014,8.2912,0.06,"Comedy,Drama"
tt0368530,6,One Tree Hill,2008,8.7702,0.66,"Drama,Romance,Sport"
tt1416765,6,Parenthood,2014,9.0003,0.08,"Comedy,Drama"
tt1578873,6,Pretty Little Liars,2015,7.0538,0.53,"Drama,Mystery,Romance"
tt0972412,6,Private Practice,2012,8.0903,0.14,"Comedy,Drama,Romance"
tt1551632,6,Rizzoli & Isles,2015,8.0994,0.12,"Crime,Drama,Mystery"
tt1837576,6,Scandal,2017,7.8147,0.16,"Drama,Thriller"
tt1586680,6,Shameless,2016,8.7381,0.44,"Comedy,Drama"
tt0840196,6,Skins,2012,7.6992,0.2,Drama
tt1124373,6,Sons of Anarchy,2013,8.7854,0.96,"Crime,Drama,Thriller"
tt1632701,6,Suits,2016,8.8941,0.72,"Comedy,Drama"
tt0460681,6,Supernatural,2011,8.7457,3.71,"Drama,Fantasy,Horror"
tt1567432,6,Teen Wolf,2017,8.8966,0.46,"Action,Comedy,Drama"
tt0458253,6,The Closer,2010,8.385,0.16,"Crime,Drama,Mystery"
tt1442462,6,The Good Wife,2015,8.1264,0.36,"Crime,Drama,Mystery"
tt0330251,6,The L Word,2009,7.1419,0.06,"Drama,Romance"
tt1196946,6,The Mentalist,2014,8.3736,0.96,"Crime,Drama,Mystery"
tt1405406,6,The Vampire Diaries,2015,8.4253,0.74,"Drama,Fantasy,Horror"
tt1520211,6,The Walking Dead,2016,8.307,5.26,"Drama,Horror,Sci-Fi"
tt0844441,6,True Blood,2013,7.9957,0.5,"Drama,Fantasy,Mystery"
tt0439100,6,Weeds,2010,7.7861,0.44,"Comedy,Crime,Drama"
tt1358522,6,White Collar,2014,8.7027,0.18,"Comedy,Crime,Drama"
tt1225901,5,90210,2013,7.653,0.01,"Comedy,Drama,Romance"
tt1734537,5,Agatha Christie's Marple,2010,7.3715,0.23,"Crime,Drama,Mystery"
tt1844624,5,American Horror Story,2015,7.8947,1.12,"Drama,Horror,Thriller"
tt1663676,5,Awkward.,2016,7.8689,0.01,"Comedy,Drama,Romance"
tt2177489,5,Baby Daddy,2016,9.1413,0.01,"Comedy,Drama,Family"
tt2188671,5,Bates Motel,2017,9.0583,0.4,"Drama,Horror,Mystery"
tt0421030,5,Big Love,2011,8.1403,0.02,Drama
tt1595859,5,Blue Bloods,2015,8.0654,0.21,"Crime,Drama"
tt0979432,5,Boardwalk Empire,2014,8.7879,0.46,"Crime,Drama,History"
tt0460627,5,Bones,2010,8.0668,1.17,"Comedy,Crime,Drama"
tt0402711,5,Boston Legal,2008,8.0657,0.27,"Comedy,Crime,Drama"
tt0903747,5,Breaking Bad,2013,9.554,18.95,"Crime,Drama,Thriller"
tt0758737,5,Brothers & Sisters,2011,9.1,0.01,Drama
